,Y,X
706,280,191
707,280,190
708,280,189
709,280,188
710,279,282
711,279,281
712,279,280
713,279,279
714,279,191
715,279,190
716,279,189
717,279,188
718,278,282
719,278,281
720,278,280
721,278,279
722,278,190
723,278,189
724,278,188
725,278,187
726,277,282
727,277,281
728,277,280
729,277,279
730,277,190
731,277,189
732,277,188
733,277,187
734,276,282
735,276,281
736,276,280
737,276,279
738,276,190
739,276,189
740,276,188
741,276,187
742,275,282
743,275,281
744,275,280
745,275,279
746,275,190
747,275,189
748,275,188
749,275,187
750,275,186
751,274,282
752,274,281
753,274,280
754,274,279
755,274,189
756,274,188
757,274,187
758,274,186
759,273,282
760,273,281
761,273,280
762,273,279
763,273,189
764,273,188
765,273,187
766,273,186
767,272,282
768,272,281
769,272,280
770,272,279
771,272,189
772,272,188
773,272,187
774,272,186
775,271,282
776,271,281
777,271,280
778,271,279
779,271,188
780,271,187
781,271,186
782,271,185
783,270,282
784,270,281
785,270,280
786,270,279
787,270,188
788,270,187
789,270,186
790,270,185
791,269,282
792,269,281
793,269,280
794,269,279
795,269,188
796,269,187
797,269,186
798,269,185
799,268,282
800,268,281
801,268,280
802,268,279
803,268,187
804,268,186
805,268,185
806,268,184
807,267,282
808,267,281
809,267,280
810,267,279
811,267,187
812,267,186
813,267,185
814,267,184
815,266,282
816,266,281
817,266,280
818,266,279
819,266,187
820,266,186
821,266,185
822,266,184
823,265,282
824,265,281
825,265,280
826,265,279
827,265,187
828,265,186
829,265,185
830,265,184
831,265,183
832,264,282
833,264,281
834,264,280
835,264,279
836,264,186
837,264,185
838,264,184
839,264,183
840,263,282
841,263,281
842,263,280
843,263,279
844,263,186
845,263,185
846,263,184
847,263,183
848,262,282
849,262,281
850,262,280
851,262,279
852,262,186
853,262,185
854,262,184
855,262,183
856,262,182
857,261,282
858,261,281
859,261,280
860,261,279
861,261,185
862,261,184
863,261,183
864,261,182
865,260,282
866,260,281
867,260,280
868,260,279
869,260,185
870,260,184
871,260,183
872,260,182
873,259,282
874,259,281
875,259,280
876,259,279
877,259,185
878,259,184
879,259,183
880,259,182
881,258,282
882,258,281
883,258,280
884,258,279
885,258,184
886,258,183
887,258,182
888,258,181
889,257,282
890,257,281
891,257,280
892,257,279
893,257,184
894,257,183
895,257,182
896,257,181
897,256,282
898,256,281
899,256,280
900,256,279
901,256,184
902,256,183
903,256,182
904,256,181
905,255,282
906,255,281
907,255,280
908,255,279
909,255,183
910,255,182
911,255,181
912,255,180
913,254,282
914,254,281
915,254,280
916,254,279
917,254,183
918,254,182
919,254,181
920,254,180
921,253,282
922,253,281
923,253,280
924,253,279
925,253,183
926,253,182
927,253,181
928,253,180
929,252,282
930,252,281
931,252,280
932,252,279
933,252,183
934,252,182
935,252,181
936,252,180
937,252,179
938,251,282
939,251,281
940,251,280
941,251,279
942,251,182
943,251,181
944,251,180
945,251,179
946,250,282
947,250,281
948,250,280
949,250,279
950,250,182
951,250,181
952,250,180
953,250,179
954,249,282
955,249,281
956,249,280
957,249,279
958,249,182
959,249,181
960,249,180
961,249,179
962,248,282
963,248,281
964,248,280
965,248,279
966,248,181
967,248,180
968,248,179
969,248,178
970,247,282
971,247,281
972,247,280
973,247,279
974,247,181
975,247,180
976,247,179
977,247,178
978,246,282
979,246,281
980,246,280
981,246,279
982,246,181
983,246,180
984,246,179
985,246,178
986,245,282
987,245,281
988,245,280
989,245,279
990,245,180
991,245,179
992,245,178
993,245,177
994,244,282
995,244,281
996,244,280
997,244,279
998,244,180
999,244,179
1000,244,178
1001,244,177
1002,243,282
1003,243,281
1004,243,280
1005,243,279
